Date,Open,High,Low,Close,Volume
04-02-2022,3810,3825,3769.2,3814.65,107911
03-02-2022,3845,3882.95,3815,3825,114933
02-02-2022,3823,3864,3800.65,3857,72720
01-02-2022,3780,3809,3735.6,3800.65,142772
31-01-2022,3742.2,3758.05,3721.7,3737.9,140447
28-01-2022,3659,3729,3650,3690.25,213927
27-01-2022,3740,3740,3626.25,3650.1,408154
25-01-2022,3771,3809.2,3723.05,3770.1,229135
24-01-2022,3841,3850.15,3741,3771.5,288622
21-01-2022,3814,3851,3771.75,3834.85,231443
20-01-2022,3915,3915,3814,3827.85,289388
19-01-2022,4018,4018,3911.75,3915.8,138761
18-01-2022,4045.5,4045.5,3981,3990.25,110328
17-01-2022,3998,4043,3963,4019.1,295249
14-01-2022,3880,3978.3,3860.1,3969.25,280512
13-01-2022,3934,3944.4,3857.25,3897.65,368315
12-01-2022,3927.8,3930.15,3836.8,3857.25,122701
11-01-2022,3859,3925.85,3853.8,3915.8,80161
10-01-2022,3974,3979.9,3861.85,3879.35,244605
07-01-2022,3809.1,3864.45,3796,3854.85,41904
06-01-2022,3816,3834.75,3771.35,3806.85,111898
05-01-2022,3865,3870.1,3811,3861.05,54550
04-01-2022,3829.05,3888,3810,3882.7,342652
03-01-2022,3744,3829,3743.95,3818.15,67010
31-12-2021,3736.05,3759.8,3731.55,3736.85,51482
30-12-2021,3693,3739.6,3680.55,3733.15,45572
29-12-2021,3700,3719.45,3684.4,3693.15,75965
28-12-2021,3715,3724.5,3694.05,3707.3,34438
27-12-2021,3670,3700,3653.15,3695.55,37807
24-12-2021,3676,3703.9,3645.3,3670.25,141802
23-12-2021,3640.5,3671,3630.05,3662.8,62978
22-12-2021,3612,3636,3605.4,3630,68470
21-12-2021,3585,3639.6,3568.05,3608.45,104021
20-12-2021,3570.1,3605,3509.85,3557.1,160727
17-12-2021,3601,3650,3573.15,3587.2,82484
16-12-2021,3580,3607.25,3570.5,3581.35,19480
15-12-2021,3610,3622.7,3558.6,3569.6,70817
14-12-2021,3601,3634.4,3576.15,3622.8,87750
13-12-2021,3647,3660,3603,3610.1,52114
10-12-2021,3585,3640.85,3575.1,3636.55,78298
09-12-2021,3613,3632.4,3567,3603.6,77990
08-12-2021,3625,3645,3602.6,3626.5,263196
07-12-2021,3567.9,3597.15,3525.6,3584.7,24002
06-12-2021,3642,3656.85,3521.5,3534.35,51174
03-12-2021,3643,3665.95,3630.75,3639.65,76061
02-12-2021,3585,3648,3573.2,3641.15,188193
01-12-2021,3535.15,3589.35,3535.15,3578.15,159108
30-11-2021,3500,3563,3494.85,3532,131810
29-11-2021,3445.65,3530,3407.55,3500.7,85268
26-11-2021,3440,3486,3414.65,3445.65,80166
25-11-2021,3462,3462,3434,3445.5,56004
24-11-2021,3478,3493.55,3431,3443.55,47809
23-11-2021,3445,3483.4,3408.05,3463.7,91067
22-11-2021,3480,3516,3441,3461.25,53969
18-11-2021,3512.05,3521.4,3452,3475.65,134098
17-11-2021,3559,3562.35,3513.8,3523.95,46814
16-11-2021,3563,3575,3541.25,3555.15,93911
15-11-2021,3534.8,3569.5,3531,3553.9,56987
12-11-2021,3500,3535.1,3486.05,3524.5,144937
11-11-2021,3482,3508.75,3436,3488.1,95676
10-11-2021,3500,3519.4,3481.35,3484.35,53691
09-11-2021,3504,3534.9,3497.6,3504.5,83427
08-11-2021,3539,3539,3481.25,3502.6,129083
04-11-2021,3515,3515.1,3505.7,3509.05,33702
03-11-2021,3508,3519.95,3466.5,3492.55,39055
02-11-2021,3495,3513.95,3466.1,3483.75,185781
01-11-2021,3438,3489,3412.65,3477.3,89540
