Date,Open,High,Low,Close,Volume
31-12-2021,3742.8,3760,3731.3,3738.35,1207141
30-12-2021,3681.35,3740,3680,3733.75,1966475
29-12-2021,3692.25,3719.95,3685,3694.7,1456923
28-12-2021,3710,3725,3693.85,3706.55,1456218
27-12-2021,3671,3700,3653.1,3696.1,1534135
24-12-2021,3685,3705,3644.8,3670.9,2209923
23-12-2021,3648,3670.5,3630,3662.7,1792861
22-12-2021,3624,3636.8,3606.25,3630.75,1224328
21-12-2021,3582.65,3641.2,3566.4,3608.3,2340989
20-12-2021,3589,3606,3510.15,3556.9,2312310
17-12-2021,3602.5,3651.35,3573.7,3584.35,4333992
16-12-2021,3582,3608.45,3570,3581.6,2072320
15-12-2021,3620,3623,3558.15,3570.35,1603233
14-12-2021,3605,3635,3576.7,3623.8,1747007
13-12-2021,3650,3662,3601.7,3609.65,1883864
10-12-2021,3585,3642,3575.1,3636.8,1510718
09-12-2021,3610,3634.75,3566,3601.75,1567957
08-12-2021,3601,3646.45,3601,3626.9,1428660
07-12-2021,3562.5,3598,3524.3,3584.5,1484458
06-12-2021,3640.45,3658,3522,3536.4,1849642
03-12-2021,3646.45,3665.95,3630.85,3640.45,2486263
02-12-2021,3589.2,3648,3574.1,3642.9,3152938
01-12-2021,3535,3590,3535,3577.8,2102118
30-11-2021,3491,3563.75,3491,3529.15,5588446
29-11-2021,3447.15,3529.35,3406.45,3502,2981745
26-11-2021,3425,3490,3411.9,3446.85,1941251
25-11-2021,3443.9,3463,3434.05,3445.9,1849619
24-11-2021,3472.2,3493.05,3424,3443.3,2161746
23-11-2021,3445,3480.95,3407.8,3464.25,2153461
22-11-2021,3478.4,3515.95,3440.3,3458.4,3167936
18-11-2021,3515.15,3520.85,3451.6,3475.7,2136598
17-11-2021,3550.6,3562.85,3506.4,3521.9,1632914
16-11-2021,3569,3575.55,3542,3556.4,2013204
15-11-2021,3528,3569.6,3528,3553.3,1809157
12-11-2021,3506,3534.15,3485.7,3526.05,1747259
11-11-2021,3480,3510.05,3436,3488.2,1284514
10-11-2021,3498,3519.7,3480.2,3484.3,1516489
09-11-2021,3508,3535,3496,3505.7,1782692
08-11-2021,3548,3548,3481.2,3502.75,2526082
04-11-2021,3512.95,3513.25,3505,3508.65,328991
03-11-2021,3504.2,3519.9,3466.05,3492.25,1537639
02-11-2021,3494,3513.6,3469.75,3484.2,3087414
01-11-2021,3437.95,3487,3412.95,3476.4,2020718
29-10-2021,3400.05,3461,3385.95,3397.75,3960501
28-10-2021,3518,3518,3415,3421.65,2424942
27-10-2021,3483,3511.25,3483,3489.75,2510813
26-10-2021,3494.5,3529,3475,3482.6,3878763
25-10-2021,3503,3514.55,3450,3492.95,2595594
22-10-2021,3560,3561.6,3485,3498.85,2691670
